date	pool	amount1	amount2
2025-03-05	BNB+USDC	1.7723	989.9876
2025-03-06	BNB+USDC	1.662320	991.56
2025-03-07	BNB+USDC	1.688820	1005.06
2025-03-08	BNB+USDC	1.693500	997.45
2025-03-10	BNB+USDC	1.864110	996.94
