date	pool	amount1	amount2
2025-01-23	ETH+USDC	0.3710	1000.0000
2025-02-14	ETH+USDC	0.367532	1000.00
2025-02-15	ETH+USDC	0.371402	1000.00
2025-02-20	ETH+USDC	0.364291	1000.00
2025-02-22	ETH+USDC	0.361555	1000.00
2025-06-20	ETH+USDC	0.361555	1000.00
