date	pool	amount1	amount2
2025-02-26	ETH+BNB	0.4130	1.57
2025-03-03	ETH+BNB	0.469513	1.73
2025-03-04	ETH+BNB	0.470000	1.73
2025-03-05	ETH+BNB	0.440000	1.66
2025-03-06	ETH+BNB	0.460000	1.67
