date	pool	amount1	amount2
2025-01-23	AVAX+USDC	85.5634	3500
2025-02-13	AVAX+USDC	38.800481	1000.00
2025-02-14	AVAX+USDC	38.120915	1000.00
2025-06-15	AVAX+USDC	12.687200	500.00
2025-06-18	AVAX+USDC	13.854200	500.00
