date	pool	amount1	amount2
2025-01-22	ETH+AVAX	1.0000	85.5575
2025-02-13	ETH+AVAX	0.372886	39.21983509
2025-02-14	ETH+AVAX	0.366616	38.00483518
2025-06-14	ETH+AVAX	0.197100	13.1
2025-06-15	ETH+AVAX	0.190100	12.71
2025-06-19	ETH+AVAX	0.000000	27.58
2025-06-26	ETH+AVAX	0.000000	29.04
2025-07-01	ETH+AVAX	0.206844	14.56
2025-07-03	ETH+AVAX	0.193700	13.38
2025-07-20	ETH+AVAX	0.225328	0
