date	pool	amount1	amount2
2025-03-08	BTC+DOGE	0.0113	5073.0436
2025-03-10	BTC+DOGE	0.0124419	6350.92
2025-03-11	BTC+DOGE	0.0120512	6043.17
2025-03-18	BTC+DOGE	0.012831	6315.96
2025-03-22	BTC+DOGE	0.0119025	5941.75
2025-06-02	BTC+DOGE	0	2628.67
