date	pool	amount1	amount2
2025-01-22	BTC+AVAX	0.0287	85.5600
2025-02-13	BTC+AVAX	0.010102	38.6481
2025-02-14	BTC+AVAX	0.010256	38.0190
2025-02-15	BTC+AVAX	0.010234	38.8886
2025-06-14	BTC+AVAX	0.004736	13.1631
2025-06-15	BTC+AVAX	0.004726	12.9456
2025-06-18	BTC+AVAX	0.004789	13.9173
2025-07-01	BTC+AVAX	0.004736	14.5790
