date	pool	amount1	amount2
2025-02-21	BTC+BNB	0.0104	1.79
2025-02-22	BTC+BNB	0.009967	1.45
2025-02-26	BTC+BNB	0.010856	1.51
2025-03-03	BTC+BNB	0.011801	1.78
2025-03-04	BTC+BNB	0.011330	1.68
