opened	open	close	tx_id	updated	from	from_blockchain	amount1	virtual	quote1	val1	gain_10_percent	to	to_blockchain	net	ersatz	quote2	val2
2024-12-12	1	1	https://cardanoscan.io/transaction/bd4a7b033cc50239d6bb7b0b33cf97a5d5ce79fc4b4bf67787dae352885502b1	n/a	INDY	Cardano	215	0	$2.48	$533.20	236.5	ADA	Cardano	454.96	0	$1.12	$509.56
2024-12-13	2	0	https://cardanoscan.io/transaction/5aa4eac3eb5c5fc20889c313fa2322b3133d9ff9726d865e0c7c003836888c4c	n/a	ADA	Cardano	1337	0	$1.12	$1497.44	1470.7001	INDY	Cardano	628.11	0	$2.48	$1557.71
2025-02-20	3	2	https://cexplorer.io/tx/ec86630c976527346e28213a8c47326f9a16874de0e55285cba804ec9f37ae9a	n/a	INDY	Cardano	387	0	$1.28	$495.36	425.7	ADA	Cardano	671.6	0	$0.7900	$530.56
2025-05-11	4	0	https://cexplorer.io/tx/db16353fd950da3cefec62cd18ed32208d0466be110f2d9eae21e2addcfd48dc	n/a	ADA	Cardano	1337	0	$0.8000	$1069.60	1470.7001	INDY	Cardano	1030.37	0	$1.04	$1071.58
2025-05-11	5	0	https://cexplorer.io/tx/9d88facaee49b9078a4e9e2c8b647c3d7663c457b8ab72e3de9cea6c7bc68992	n/a	INDY	Cardano	480	0	$1.04	$499.20	528	ADA	Cardano	620.15	0	$0.8000	$496.12
