opened	open	close	tx_id	updated	from	from_blockchain	amount1	virtual	quote1	val1	gain_10_percent	to	to_blockchain	net	ersatz	quote2	val2
2025-06-04	1	0	virtual swap	n/a	NEAR	Aurora	95	0	$2.50	$237.50	104.5	AURORA	Aurora	2826	0	$0.0815	$230.32
2025-06-04	2	0	virtual swap	n/a	AURORA	Aurora	3000	0	$0.0815	$244.50	3300	NEAR	Aurora	98.19	0	$2.50	$245.48
