date	ATOM	ATOM quote	ATOM $	ATOM %	factor γATOM	γATOM	KUJI	KUJI quote	KUJI $	KUJI %	factor γKUJI	γKUJI	total	Total	Total without trades	diff
2025-02-21	0.0000	$5.04	$0.00	0.00%	0.17	0.00	6294.13	$0.33	$2,077.06	100.00%	0.0169892	106.93	106.93	$2,077.06	$2,446.50	-$369.43
2025-01-05	155.1011	$7.36	$1,141.54	29.50%	0.17	25.78	4329.80	$0.63000	$2,727.77	70.50%	0.0169892	73.56	99.34	$3,869.32	$4,040.96	-$171.64
2024-12-27	220.1011	$7.01	$1,543.57	39.04%	0.17	36.59	3618.04	$0.66630	$2,410.70	60.96%	0.0169892	61.47	98.06	$3,954.27	$4,059.15	-$104.87
2024-12-24	220.1011	$7.01	$1,543.57	37.91%	0.18	38.63	3416.38	$0.74000	$2,528.12	62.09%	0.016996	58.07	96.69	$4,071.69	$4,178.99	-$107.30
2024-12-12	278.3728	$9.07	$2,524.84	48.86%	0.18	48.86	3009.14	$0.87835	$2,643.09	51.14%	0.016996	51.14	100.00	$5,167.93	$5,167.93	$0.00
