date	blockchain	ADA quote	ADA	ADA $	ADA %	factor γADA	γADA	SNEK	SNEK quote	SNEK $	SNEK %	factor γSNEK	γSNEK	γ	subtotal	distributions	distributions_total	total	Total without trades	diff
2025-05-26	Cardano	$0.77	1,685	$1,297.72	33.28%	0.0198	33.29	806829	$0.00322481	$2,601.87	66.72%	0.0000827	66.74	100.03	$3,899.59	$0.00	$0.00	$3,899.59	$3,889.25	$10.34
2025-05-24	Cardano	$0.76	1,042	$791.92	40.41%	0.0388	40.41	351410	$0.00332377	$1,168.01	59.59%	0.0001696	59.60	100.02	$1,959.92	$0.00	$0.00	$1,959.92	$1,959.92	$0.00
