date	just LUNA	LUNA quote	ampLUNA	ex rate	ex $	amped LUNA	LUNA	LUNA $	LUNA %	factor γLUNA	γLUNA	ROAR	ROAR quote	ROAR $	ROAR %	factor γROAR	γROAR	total	Total	Total without trades	diff
2025-05-16	2,094.60	$0.20	118.9	1.5157	$0.30	180.21673	2,274.82	$454.96	54.06%	0.02	38.92	678209243.28	$0.00000057	$386.58	45.94%	0.0000001	55.24	94.16	$841.54	$864.77	-$23.22
2025-01-10	2,916.19	$0.42	118.9	1.5157	$0.64	180.21673	3,096.41	$1,300.49	63.33%	0.02	52.98	489043210.98	$0.00000154	$753.13	36.67%	0.0000001	39.83	92.81	$2,053.62	$2,052.35	$1.27
2024-12-27	2,180.18	$0.46	118.9	1.5157	$0.70	180.21673	2,360.40	$1,085.78	51.91%	0.02	40.38	689043210.98	$0.00000146	$1,006.00	48.09%	0.0000001	56.12	96.51	$2,091.79	$2,091.63	$0.16
2024-12-12	1,975.74	$0.58	118.9	1.5157	$0.88	180.21673	2,155.96	$1,250.46	45.32%	0.02	45.32	689043210.98	$0.00000219	$1,509.00	54.68%	0.000000	54.68	100.00	$2,759.46	$2,759.46	$0.00
