date	blockchain	ADA quote	ADA	ADA $	ADA %	factor γADA	γADA	iUSD	iUSD quote	iUSD $	iUSD %	factor γiUSD	γiUSD	γ	subtotal	distributions	distributions_total	Total	Total without trades	diff
2025-05-26	Cardano	$0.76	3,977.54	$3,022.93	50.60%	0.0129	51.41	2951.11	$1.00	$2,951.11	49.40%	0.0170	50.19	101.60	$5,974.04	$0.00	$108.98	$6,083.03	$5,879.74	$203.29
2025-05-18	Cardano	$0.76	2,668.76	$2,028.25	50.50%	0.0196	52.28	1987.99	$1.00	$1,987.99	49.50%	0.0248	49.29	101.57	$4,016.24	$108.98	$108.98	$4,125.23	$3,958.93	$166.29
2025-05-11	Cardano	$0.80	738.83	$591.06	14.50%	0.0196	14.47	3485.75	$1.00	$3,485.75	85.50%	0.0248	86.43	100.91	$4,076.81	$0.00	$0.00	$4,076.81	$4,057.56	$19.25
2025-03-07	Cardano	$0.88	1,243.93	$1,094.66	26.18%	0.0196	24.37	3085.83	$1.00	$3,085.83	73.82%	0.0248	76.52	100.88	$4,180.49	$0.00	$0.00	$4,180.49	$4,254.80	-$74.32
2025-02-20	Cardano	$0.79	2,465.61	$1,947.83	48.30%	0.0196	48.30	2085.07	$1.00	$2,085.07	51.70%	0.0248	51.70	100.00	$4,032.90	$0.00	$0.00	$4,032.90	$4,032.90	$0.00
