date	ATOM	ATOM quote	ATOM $	ATOM %	factor γATOM	γATOM	OSMO	OSMO quote	OSMO $	OSMO %	factor γOSMO	γOSMO	total	Total	Total without trades	diff
2025-05-16	103.6822	$4.94	$512.19	21.87%	0.15	15.96	7622.83	$0.24	$1,829.48	78.13%	0.0108609	82.79	98.75	$2,341.67	$2,724.90	-$383.23
2024-12-27	242.7800	$7.01	$1,702.62	31.55%	0.15	37.37	5805.45	$0.6363	$3,694.06	68.45%	0.0108609	63.05	100.43	$5,396.67	$5,186.95	$209.72
2024-12-24	235.0411	$7.01	$1,648.34	30.85%	0.16	37.89	5805.45	$0.6363	$3,694.06	69.15%	0.01	61.39	99.28	$5,342.40	5,136.47	$205.94
2024-12-16	235.0411	$9.26	$2,176.48	38.30%	0.16	36.88	5511.33	$0.6363	$3,506.91	61.70%	0.011417	62.92	99.80	$5,683.39	$5,742.33	-$58.94
2024-12-15	327.6849	$9.26	$3,034.36	52.98%	0.16	51.41	4232.89	$0.6363	$2,693.43	47.02%	0.011417	48.33	99.74	$5,727.79	$5,742.33	-$14.55
2024-12-12	327.6833	$9.07	$2,972.09	51.41%	0.16	51.41	4255.77	$0.66000	$2,808.81	48.59%	0.011417	48.59	100.00	$5,780.90	$5,780.90	$0.00
