date	accum	weighted_start_date	invested	total_invested	blockchain	AVAX	AVAX quote	AVAX $	AVAX %	factor γAVAX	γAVAX	UNDEAD	UNDEAD quote	UNDEAD $	UNDEAD %	factor γUNDEAD	γUNDEAD	totalγ	subtotal	distributions	distributions_total	total	Total without trades	diff	roi	apr
2026-08-25	147,599,028.51	2025-09-27	$0.00	$3,213.77	Avalanche	0.06	$7.36	$0.46	0.12%	0.8828	0.05	678502	$0.0005640	$382.67	99.88%	0.00008450	57.33	57.39	$383.13	$292.36	$680.41	$1,063.54	$761.73	$301.81	21.17%	23.28%
2026-02-23	147,599,028.51	2025-09-27	$0.00	$3,213.77	Avalanche	77.62	$8.41	$652.80	66.24%	0.8828	68.52	199599	$0.001667	$332.73	33.76%	0.00008450	16.87	85.39	$985.53	$177.50	$388.05	$1,373.58	$1,393.14	-$19.56	12.07%	29.58%
2025-12-22	147,599,028.51	2025-09-27	$0.00	$3,213.77	Avalanche	77.45	$12.34	$955.76	64.41%	0.8828	68.37	318689	$0.001657	$528.07	35.59%	0.00008450	26.93	95.30	$1,483.82	$103.26	$210.55	$1,694.37	$1,640.81	$53.56	6.55%	27.81%
2025-12-08	147,599,028.51	2025-09-27	$0.00	$3,213.77	Avalanche	39.40	$13.68	$539.02	37.11%	0.8828	34.78	676031	$0.001351	$913.32	62.89%	0.00008450	57.12	91.91	$1,452.34	$38.06	$107.29	$1,559.62	$1,570.57	-$10.95	3.34%	16.92%
2025-10-14	147,599,028.51	2025-09-27	$0.00	$3,213.77	Avalanche	59.95	$22.58	$1,353.54	49.68%	0.8828	52.92	511466	$0.002681	$1,371.24	50.32%	0.00008450	43.22	96.14	$2,724.78	$69.22	$69.22	$2,794.00	$2,822.76	-$28.76	2.15%	46.25%
2025-09-27	147,599,028.51	2025-09-27	$3,213.77	$3,213.77	Avalanche	64.32	$28.37	$1,824.79	56.78%	0.8828	56.78	511219	$0.002717	$1,388.98	43.22%	0.00008450	43.20	99.98	$3,213.77	$0.00	$0.00	$3,213.77	$3,213.77	$0.00	0.00%	0.00%
