date	blockchain	INDY quote	INDY	INDY $	INDY %	factor γINDY	γINDY	ADA	ADA quote	ADA $	ADA %	factor γADA	γADA	γ	subtotal	distributions	total_distributions	total	Total without trades	diff
2025-05-11	Cardano	$1.04	1,590.39	$1,654.01	72.60%	0.05	85.99	780.31	$0.80	$624.24	27.40%	0.03	24.96	110.95	$2,278.25	$128.20	$128.20	$2,406.45	$2,255.93	$150.51
2025-02-20	Cardano	$1.28	628.09	$803.96	32.07%	0.05	33.96	2155.83	$0.79	$1,703.10	67.93%	0.03	68.97	102.93	$2,507.06	$0.00	$0.00	$2,507.06	$2,484.55	$22.51
2025-01-10	Cardano	$1.69	1,015.09	$1,715.50	54.88%	0.05	54.88	1500.30	$0.94	$1,410.28	45.12%	0.03	48.00	102.88	$3,125.78	$0.00	$0.00	$3,125.78	$3,125.78	$0.00
2024-12-12	Cardano	$2.48	684.02	$1,696.38	27.41%	0.04	27.41	4010.23	$1.12	$4,491.46	72.59%	0.0181	72.59	100.00	$6,187.84	$0.00	$0.00	$6,187.84	$6,187.84	$0.00
