date	blockchain	SOL quote	SOL	SOL $	SOL %	factor γSOL	γSOL	ADA	ADA quote	ADA $	ADA %	factor γADA	γADA	γ	subtotal	distributions	distributions_total	total	Total without trades	diff
2025-05-26	Cardano	$177.64	7.37502	$1,310.10	36.35%	4.66	34.38	3017.93	$0.76	$2,293.63	63.65%	0.0199	60.19	94.58	$3,603.73	$0.00	$134.36	$3,738.09	$3,810.36	-$72.27
2025-05-18	Cardano	$170.75	2.44231	$417.02	24.86%	7.37	18.01	1702.91	$0.74	$1,260.15	75.14%	0.0451	76.84	94.85	$1,677.18	$38.21	$134.36	$1,811.54	$1,796.68	$14.86
2025-05-15	Cardano	$170.18	4.60518	$783.71	45.35%	7.37	33.96	1226.41	$0.77	$944.34	54.65%	0.0451	55.34	89.30	$1,728.05	$96.15	$96.15	$1,824.20	$1,793.83	$30.37
2025-03-07	Cardano	$143.82	10.10181	$1,452.84	94.45%	7.37	74.50	97.02	$0.88	$85.38	5.55%	0.0451	4.38	78.88	$1,538.22	$0.00	$0.00	$1,538.22	$1,538.22	$0.00
