date	blockchain	BTC quote	BTC	BTC $	BTC %	factor γBTC	γBTC	ADA	ADA quote	ADA $	ADA %	factor γADA	γADA	γADJ	subtotal	distributions	distributions_total	total	Total without trades	diff
2026-02-17	Cardano	$68,134.99	0.012099	$824.37	52.39%	2,607	31.54	2635.09	$0.28	$749.16	47.61%	0.0180	47.55	79.10	$1,573.52	$378.09	$473.71	$2,047.24	$2,153.18	-$105.95
2025-05-26	Cardano	$109,805.00	0.01688	$1,853.95	45.75%	2,607	44.02	2893.15	$0.76	$2,198.79	54.25%	0.0180	52.21	96.23	$4,052.74	$0.00	$95.63	$4,148.37	$4,211.59	-$63.22
2025-05-18	Cardano	$103,831.00	0.00759	$788.18	39.52%	4,854	36.85	1586.85	$0.76	$1,206.01	60.48%	0.0394	62.50	99.35	$1,994.19	$95.63	$95.63	$2,089.82	$2,040.03	$49.78
2025-05-11	Cardano	$104,742.00	0.01650	$1,727.72	78.51%	4,854	80.07	591.17	$0.80	$472.93	21.49%	0.0394	23.28	103.36	$2,200.65	$0.00	$0.00	$2,200.65	$2,097.90	$102.75
2025-03-07	Cardano	$89,675.00	0.02060	$1,846.86	95.62%	4,854	99.98	96.24	$0.88	$84.69	4.38%	0.0394	3.79	103.77	$1,931.55	$0.00	$0.00	$1,931.55	$2,030.06	-$98.52
2025-02-21	Cardano	$97,364.00	0.01087	$1,058.35	52.77%	4,854	52.77	1199.20	$0.79	$947.37	47.23%	0.0394	47.23	100.00	$2,005.71	$0.00	$0.00	$2,005.71	$2,005.71	$0.00
