date	LINK	LINK quote	LINK $	LINK %	factor γLINK	γLINK	DOT	DOT quote	DOT $	DOT %	factor γDOT	γDOT	total	Total	Total without trades	diff
2025-04-21	192.9723	$13.44	$2,593.55	62.71%	0.34	65.78	394.43	$3.91	$1,542.20	37.29%	0.105	41.33	107.10	$4,135.75	$3,912.74	$223.01
2025-03-11	269.4723	$12.72	$3,427.69	87.36%	0.34	91.85	126.80	$3.91	$495.79	12.64%	0.105	13.29	105.14	$3,923.48	$3,751.82	$171.66
2025-03-10	154.6412	$14.28	$2,208.28	100.00%	0.665	102.88	0.00	$4.23	$0.00	0.00%	0.197	0.00	102.88	$2,208.28	$2,208.28	$0.00
