date	opened	pivot	close	tx_id	from	from_quote	to	to_quote	trade	vol	gain_10_percent	new_to_actual	gain	gain_total_usd	roi	apr
2025-05-08	2025-02-25	5	1	https://snowtrace.io/tx/0xb15b98d0ad5016407aaaa6cbb3035a3ac3b61cd5fd699860a292e4f118eec1b3	BTC	$99,454.00	USDC	$1.00	0.01134	$1,127.81	1,100.00	1164.35	164.34	$164.34	16.43%	83.31%
2025-05-22	2025-02-17	2	2	https://snowtrace.io/tx/0x85cebbc0c07258b934f29dadaaf81b828892f1d0cf99a6ff6d0792dcc3e2a3d5	BTC	$111,192.00	USDC	$1.00	0.0104	$1,156.40	1,100.00	1154.11	154.11	$153.56	15.39%	59.77%
2025-05-22	2025-02-22	4	3	https://snowtrace.io/tx/0x730088ba9e905d84d65ff293b2a08c5d7d76154e0a55357ee390f741776bc09c	BTC	$111,192.00	USDC	$1.00	0.01035	$1,150.84	1,100.00	1147.91	147.91	$148.26	14.81%	60.74%
2025-05-22	2025-02-14	1	4	https://snowtrace.io/tx/0x8eb8ba0dbd386c7498ffa161e538d4c001577fb6da823582b87a74d796770e56	BTC	$111,192.00	USDC	$1.00	0.01026	$1,140.83	1,100.00	1136.31	136.31	$136.31	13.63%	51.29%
2025-05-22	2025-02-19	3	5	virtual swap	BTC	$111,192.00	USDC	$1.00	0.0103	$1,145.28	1,100.00	1139.94	139.94	$139.94	13.99%	55.52%
2025-12-22	2025-06-26	19	6	https://snowtrace.io/tx/0x14d5104e1b2ef97fb34ce43e7a0ba8cab13773be7837533e1972587ba46a09fb	USDC	$1.00	BTC	$89,935.00	500.33	$500.33	0.00514	0.005713	0.001040	$93.50	14.67%	29.90%
2026-02-23	2025-04-05	6;7;8;9;10;11	7	https://snowtrace.io/tx/0x1fe41df9be8b11e761251acbc3fd1b3ddc5cbaace94c789e8fbb4feb1d3a9774	USDC	$1.00	BTC	$64,710.00	4510.07	$4,510.07	0.05655	0.069575	0.018165	$1,175.44	35.33%	39.76%
2026-08-31	2026-02-23	21;22	8	https://snowtrace.io/tx/0x881efa008b472201738a498426ee0f7c9a5d31a3c8a3771998f0f343a73a19e4	BTC	$78,377.00	USDC	$1.00	0.032104	$2,516.22	2,118.55	2453.35	527.40	$527.40	27.38%	52.88%
