date	pivot	close	tx_id	from	from_quote	to	to_quote	trade	vol	gain_10_percent	new_to_actual	gain	gain_total_usd	roi	apr
2025-05-10	5	11	https://snowtrace.io/tx/0x54a189cd0bf4e5b57a87b3d17c36ec53e8b05ffecada62dc2a278ada73cca18f	AVAX	$25.19	USDC	$1.00	45.69	$1151.00	1100.0022	1162.3290	162.3270	$162.33	16.23%	80.07%
2025-06-18	10	12	https://snowtrace.io/tx/0xc0fca264aeb0f953a0a3afde6bc6a4e8e3ca0301950de5cc47d7a628e7dcc709	USDC	$1.00	AVAX	$18.15	1088.51	$1088.51	59.796	62.2884	7.9251	$143.87	14.58%	91.74%
2025-06-20	11	13	https://snowtrace.io/tx/0xed78e13ecacba0a883e0d1004fc34af68a8571b89d54c10ebd21c6417277cefc	USDC	$1.00	AVAX	$17.35	250.19	$250.19	13.95592	14.2496	1.5624	$27.11	12.31%	898.98%
2025-09-23	1,2,3,4,12,14,15	14	https://snowtrace.io/tx/0xb81c711cc05d2b70e0f7b53903a4cb11e62acc5baecf72761439f8d89fe993a8	AVAX	$34.16	USDC	$1.00	287.96	$9836.72	7150.0	9,886.33	4386.3264	$4386.12	79.75%	175.50%
2025-10-14	17	15	https://snowtrace.io/tx/0xe1a98daca590f9192ca0883eb7dc010e2e8e90c06b4eeb3c31333e1a8a181a32	AVAX	$22.58	USDC	$1.00	57.05	$1287.93	1100.0	1293.0763	293.0763	$293.12	29.31%	534.92%
2025-12-08	6;7;8;9;13;16;18;20	16	https://snowtrace.io/tx/0x2ccdb9e09cfdcc2ee0e95fac51c54b56204c8a3d23173aa94a34102449163601	USDC	$1.00	AVAX	$13.69	3215	$3215.00	190.30461	235.1599	62.1559	$850.53	35.92%	68.46%
2026-02-23	22	17	https://snowtrace.io/tx/0xbf8675d79ebf6c8befabf727aced66902e7058e066ae4ca9e339f0cf9479b55b	USDC	$1.00	AVAX	$8.41	997.97	$997.97	90.200005	120.5601	38.5601	$324.29	47.02%	272.44%

