date	pivot	close	tx_id	from	from quote	to	to quote	gas estimated	gas token	gas quote	gas	gas actual	gas $	rec	trade	keeping	ADA $	ADA $ total	new to-computed	new to-actual	commission	gain	iUSD $	iUSD $ total	gain $	ROI	APR
2025-05-17	1	1	https://cexplorer.io/tx/2b28f1a151aeda71580c226f802b65487b1ee9e103c1a8ea39fbe6c9f8caa697	iUSD	$1.00	ADA	$0.76	$0.65	ADA	$0.76	0.85526	0.850000	$0.65	997.77	997.76	0.00901	$136.22	$136.22	1312.8419	1400.0880	2.993280000	179.2380	$0.01	$0.01	$136.23	14.69%	75.53%
2026-02-17	2;5	2	https://cexplorer.io/tx/028efb28888fc9eb79f269e3bdcfadce172aa80256947fd017cc68eca5863433	iUSD	$1.00	ADA	$0.28	$0.65	ADA	$0.28	2.29682	3.170000	$0.90	1863.04	1861.530601	1.51180	$1,086.80	$1,223.02	6577.8466	6,297.44	0.000000000	3840.2700	$1.51	$1.51	$1,088.31	156.57%	208.19%
