date	pivot	close	tx_id	from	from_quote	to	to_quote	trade	vol	gain_10_percent	new_to_actual	gain	gain_total_usd	roi	apr
2025-04-17	8	1	https://snowtrace.io/tx/0x1eda1057d001f0cdfdfd2b3b527ebaf45f6a86210432914eef4f2d6f9a17182a	USDC	$1.00	ETH	$1599.73	499.99353	$499.99	0.2772	0.3159	0.0639	$102.24	25.36%	356.04%
2025-04-21	6	2	https://snowtrace.io/tx/0x8356ed437232ccb74ef62e0db33187a69be9758c2254f12b57c00807f9ee2c08	USDC	$1.00	ETH	$1629.20	496.59285	$496.59	0.2827	0.3154	0.0584	$95.14	22.72%	202.28%
2025-05-13	5	3	https://snowtrace.io/tx/0x73ef2e0d15ad4fb81e0bd1950f894a5ec41395a001a866a55279d0458de13b54	ETH	$2521.24	USDC	$1.00	0.4311	$1086.91	1100.0	1153.2297	153.23	$153.20	15.32%	73.58%
2025-05-22	4	4	https://snowtrace.io/tx/0xe38d69489ec69a1516be8c3b5e20afe8832bb52c3ae7718ffddc70d44ecb2bf2	ETH	$2647.84	USDC	$1.00	0.4101	$1085.88	1100.0	1105.8194	105.82	$105.78	10.58%	44.90%
2025-09-27	1,2,3,13,14,15,16	5	https://snowtrace.io/tx/0xca2c6b6591c4d443ba8198488c26e40151cc5912a86ac11d56d2fd01a5bad89f	ETH	$4021.20	USDC	$1.00	2.1044	$8462.21	6107.178	8465.1118	2913.13	$2913.33	52.47%	119.70%
2025-12-22	19	6	https://snowtrace.io/tx/0xc0e0faa60febfd0a8b431c27685a309ded2623f07a21dd6e4cf94e22a85a2102	USDC	$1.00	ETH	$3057.44	500.28	$500.28	0.1375	0.1685	0.0435	$133.06	34.82%	147.77%
2026-02-23	17;20	7	https://snowtrace.io/tx/0xef5c993d078e1cc07cf81e64265c8649e2e32d1b7fa89026b0c14c6dbd5fb1ab	USDC	$1.00	ETH	$1828.88	1250.46	$1250.46	0.48422003	0.6806	0.2404	$439.72	54.62%	128.20%

