date	pivot	close	tx_id	from	from quote	to	to quote	gas estimated	gas token	gas quote	gas	gas actual	gas $	rec	trade	actual	keeping	ADA $	ADA $ total	new to-computed	new to-actual	commission	gain	INDY $	INDY $ total	gain $	ROI	APR
2025-01-10	1	1	https://cexplorer.io/tx/9173ebd7206003e778f2b52494b4d454f89dd24999fa5e3c70926bb72b66a6b2	ADA	$0.94	INDY	$1.69	$0.40	ADA	$0.94	0.42553	3.660000	$3.44	449.95	449.28	453.78	-3.83085	-$3.60	-$3.60	249.8940	245.1900	1.3470	28.8430	$48.74	$48.74	$45.14	12.57%	158.25%
2025-05-11	3	2	https://cexplorer.io/tx/7fe3d437e24d5d936d9337eac61b066e073497bf97a90563c1e81a918b09a614	ADA	$0.80	INDY	$1.04	$3.00	ADA	$0.80	3.75000	0.180000	$0.14	666.91	666.91	543.64	0.00000	$0.00	-$3.60	513.0054	505.5253	4.5148	118.5253	$123.27	$172.01	$123.27	30.63%	139.73%
