date	+BTC	BTC	BTC quote	average BTC quote quote	BTC $	BTC %	TOTAL	gains	$ gains	deposits/withdrawals	invested	yields	gains, total	$ gains, total	ROI	APR
2025-07-18	0.00000	0.00099	$117,935.00	$83,656.00	$117.13	100.00%	$117.13	0.00000	$0.05	$0.00	$100.00	$0.00	0.00000	$17.13	17.13%	43.43%
2025-07-17	0.00000	0.00099	$117,882.00	$83,656.00	$117.08	100.00%	$117.08	0.00000	-$0.84	$0.00	$100.00	$0.00	0.00000	$17.08	17.08%	43.60%
2025-07-16	0.00000	0.00099	$118,727.00	$83,656.00	$117.92	100.00%	$117.92	0.00000	$1.64	$0.00	$100.00	$0.00	0.00000	$17.92	17.92%	46.06%
2025-07-15	0.00000	0.00099	$117,073.00	$83,656.00	$116.28	100.00%	$116.28	0.00000	-$4.61	$0.00	$100.00	$0.00	0.00000	$16.28	16.28%	42.14%
2025-07-14	0.00000	0.00099	$121,719.00	$83,656.00	$120.89	100.00%	$120.89	0.00000	$3.37	$0.00	$100.00	$0.00	0.00000	$20.89	20.89%	54.47%
2025-07-13	0.00000	0.00099	$118,326.00	$83,656.00	$117.52	100.00%	$117.52	0.00000	$0.84	$0.00	$100.00	$0.00	0.00000	$17.52	17.52%	46.01%
2025-07-12	0.00000	0.00099	$117,476.00	$83,656.00	$116.68	100.00%	$116.68	0.00000	-$0.50	$0.00	$100.00	$0.00	0.00000	$16.68	16.68%	44.11%
2025-07-11	0.00000	0.00099	$117,978.00	$83,656.00	$117.18	100.00%	$117.18	0.00000	$7.04	$0.00	$100.00	$0.00	0.00000	$17.18	17.18%	45.76%
2025-07-10	0.00000	0.00099	$110,888.00	$83,656.00	$110.13	100.00%	$110.13	0.00000	$1.36	$0.00	$100.00	$0.00	0.00000	$10.13	10.13%	27.20%
2025-07-09	0.00000	0.00099	$109,514.00	$83,656.00	$108.77	100.00%	$108.77	0.00000	$0.64	$0.00	$100.00	$0.00	0.00000	$8.77	8.77%	23.71%
2025-07-08	0.00000	0.00099	$108,871.00	$83,656.00	$108.13	100.00%	$108.13	0.00000	$0.68	$0.00	$100.00	$0.00	0.00000	$8.13	8.13%	22.15%
2025-07-07	0.00000	0.00099	$108,189.00	$83,656.00	$107.45	100.00%	$107.45	0.00000	$0.00	$0.00	$100.00	$0.00	0.00000	$7.45	7.45%	20.45%
2025-07-06	0.00000	0.00099	$108,189.00	$83,656.00	$107.45	100.00%	$107.45	0.00000	-$0.01	$0.00	$100.00	$0.00	0.00000	$7.45	7.45%	20.61%
2025-07-05	0.00000	0.00099	$108,200.00	$83,656.00	$107.46	100.00%	$107.46	0.00000	-$0.65	$0.00	$100.00	$0.00	0.00000	$7.46	7.46%	20.80%
2025-07-04	0.00000	0.00099	$108,859.00	$83,656.00	$108.12	100.00%	$108.12	0.00000	-$0.04	$0.00	$100.00	$0.00	0.00000	$8.12	8.12%	22.79%
2025-07-03	0.00000	0.00099	$108,896.00	$83,656.00	$108.16	100.00%	$108.16	0.00000	$1.31	$0.00	$100.00	$0.00	0.00000	$8.16	8.16%	23.08%
2025-07-02	0.00000	0.00099	$107,582.00	$83,656.00	$106.85	100.00%	$106.85	0.00000	$0.92	$0.00	$100.00	$0.00	0.00000	$6.85	6.85%	19.53%
2025-07-01	0.00000	0.00099	$106,658.00	$83,656.00	$105.93	100.00%	$105.93	0.00000	-$1.08	$0.00	$100.00	$0.00	0.00000	$5.93	5.93%	17.05%
2025-06-30	0.00000	0.00099	$107,744.00	$83,656.00	$107.01	100.00%	$107.01	0.00000	-$0.49	$0.00	$100.00	$0.00	0.00000	$7.01	7.01%	20.31%
2025-06-29	0.00000	0.00099	$108,237.00	$83,656.00	$107.50	100.00%	$107.50	0.00000	$0.88	$0.00	$100.00	$0.00	0.00000	$7.50	7.50%	21.90%
2025-06-28	0.00000	0.00099	$107,354.00	$83,656.00	$106.62	100.00%	$106.62	0.00000	$0.60	$0.00	$100.00	$0.00	0.00000	$6.62	6.62%	19.50%
2025-06-27	0.00000	0.00099	$106,746.00	$83,656.00	$106.02	100.00%	$106.02	0.00000	-$0.63	$0.00	$100.00	$0.00	0.00000	$6.02	6.02%	17.86%
2025-06-26	0.00000	0.00099	$107,377.00	$83,656.00	$106.65	100.00%	$106.65	0.00000	-$0.02	$0.00	$100.00	$0.00	0.00000	$6.65	6.65%	19.89%
2025-06-25	0.00000	0.00099	$107,394.00	$83,656.00	$106.66	100.00%	$106.66	0.00000	$2.28	$0.00	$100.00	$0.00	0.00000	$6.66	6.66%	20.10%
2025-06-24	0.00000	0.00099	$105,096.00	$83,656.00	$104.38	100.00%	$104.38	0.00000	$3.59	$0.00	$100.00	$0.00	0.00000	$4.38	4.38%	13.33%
2025-06-23	0.00000	0.00099	$101,478.00	$83,656.00	$100.79	100.00%	$100.79	0.00000	-$1.20	$0.00	$100.00	$0.00	0.00000	$0.79	0.79%	2.42%
2025-06-22	0.00000	0.00099	$102,688.00	$83,656.00	$101.99	100.00%	$101.99	0.00000	-$1.23	$0.00	$100.00	$0.00	0.00000	$1.99	1.99%	6.15%
2025-06-21	0.00000	0.00099	$103,925.00	$83,656.00	$103.22	100.00%	$103.22	0.00000	-$0.29	$0.00	$100.00	$0.00	0.00000	$3.22	3.22%	10.04%
2025-06-20	0.00000	0.00099	$104,214.00	$83,656.00	$103.51	100.00%	$103.51	0.00000	-$0.42	$0.00	$100.00	$0.00	0.00000	$3.51	3.51%	11.03%
2025-06-19	0.00000	0.00099	$104,640.00	$83,656.00	$103.93	100.00%	$103.93	0.00000	-$0.13	$0.00	$100.00	$0.00	0.00000	$3.93	3.93%	12.47%
2025-06-18	0.00000	0.00099	$104,767.00	$83,656.00	$104.05	100.00%	$104.05	0.00000	-$1.02	$0.00	$100.00	$0.00	0.00000	$4.05	4.05%	12.98%
2025-06-17	0.00000	0.00099	$105,791.00	$83,656.00	$105.07	100.00%	$105.07	0.00000	-$1.73	$0.00	$100.00	$0.00	0.00000	$5.07	5.07%	16.38%
2025-06-16	0.00000	0.00099	$107,530.00	$83,656.00	$106.80	100.00%	$106.80	0.00000	$2.38	$0.00	$100.00	$0.00	0.00000	$6.80	6.80%	22.16%
2025-06-15	0.00000	0.00099	$105,135.00	$83,656.00	$104.42	100.00%	$104.42	0.00000	$0.09	$0.00	$100.00	$0.00	0.00000	$4.42	4.42%	14.53%
2025-06-14	0.00000	0.00099	$105,043.00	$83,656.00	$104.33	100.00%	$104.33	0.00000	-$0.53	$0.00	$100.00	$0.00	0.00000	$4.33	4.33%	14.36%
2025-06-13	0.00000	0.00099	$105,581.00	$83,656.00	$104.86	100.00%	$104.86	0.00000	-$1.41	$0.00	$100.00	$0.00	0.00000	$4.86	4.86%	16.28%
2025-06-12	0.00000	0.00099	$107,003.00	$83,656.00	$106.28	100.00%	$106.28	0.00000	-$2.21	$0.00	$100.00	$0.00	0.00000	$6.28	6.28%	21.21%
