date	pool	token	quote	amount	amount $	paydown	paydown $	sum	BTC $	USDC $	asUSD	total
2025-05-08	BTC+USDC	USDC	$1.00	131.472	$131.47	16.434	$16.43	147.906	$0.00	$147.91	$147.91	$147.91
2025-05-22	BTC+USDC	USDC	$1.00	462.616	$462.62	57.827	$57.83	520.443	$0.00	$668.35	$520.44	$668.35
2025-12-22	BTC+USDC	BTC	$89,935.00	0.000832	$74.83	0.000104	$9.35	0.000936	$84.18	$668.35	$84.18	$752.53
2026-02-23	BTC+USDC	BTC	$64,710.00	0.014532	$940.37	0.0018165	$117.55	0.0163485	$1,142.09	$668.35	$1,057.91	$1,810.44
2026-08-31	BTC+USDC	USDC	$1.00	421.92032	$421.92	52.74004	$52.74	474.66036	$1,142.09	$1,143.01	$474.66	$2,285.10
