date	pool	token	quote	amount	amount $	paydown	paydown $	sum	AVAX $	UNDEAD $	asUSD	total
2025-10-14	AVAX+UNDEAD	sAVAX	$28.26	2.45	$69.22	0.31	$8.70	2.76	$69.22	$0.00	$69.22	$69.22
2025-12-08	AVAX+UNDEAD	UNDEAD	$0.001351	22507	$30.41	2813	$4.76	25320	$69.22	$38.06	$38.06	$107.29
2025-12-22	AVAX+UNDEAD	sAVAX	$12.34	6.69	$82.50	0.84	$12.91	7.52	$172.49	$38.06	$103.26	$210.55
2026-01-05	AVAX+UNDEAD	sAVAX	$8.41	16.86	$141.80	2.11	$22.19	18.97	$349.99	$38.06	$177.50	$388.05
2026-08-26	AVAX+UNDEAD	UNDEAD	$0.0005640	460771	$259.87	57596	$32.48	518368	$349.99	$330.42	$292.36	$680.41
