date	pool	token	quote	amount	amount $	paydown	paydown $	sum	ETH $	USDC $	asUSD	total
2025-04-17	ETH+USDC	ETH	$1,599.73	0.05112	$81.78	0.00639	$10.22	0.05751	$92.00	$0.00	$92.00	$92.00
2025-04-21	ETH+USDC	ETH	$1,629.20	0.04672	$76.12	0.00584	$9.51	0.05256	$85.63	$0.00	$85.63	$177.63
2025-05-13	ETH+USDC	USDC	$1.00	122.58	$122.58	15.32	$15.32	137.91	$137.91	$0.00	$137.91	$315.54
2025-05-22	ETH+USDC	USDC	$1.00	84.66	$84.66	10.58	$10.58	95.24	$95.24	$0.00	$95.24	$410.78
2025-09-27	ETH+USDC	USDC	$1.00	2330.50	$2,330.50	291.31	$291.31	2621.82	$2,621.82	$0.00	$2,621.82	$3,032.59
2025-12-22	ETH+USDC	ETH	$3,057.44	0.0348	$106.40	0.00435	$13.30	0.03915	$119.70	$0.00	$119.70	$3,152.29
2026-02-23	ETH+USDC	ETH	$1,828.88	0.19232	$351.73	0.02404	$43.97	0.21636	$395.70	$0.00	$395.70	$3,547.99
2026-08-31	ETH+USDC	USDC	$1.00	445.71	$445.71	55.71	$55.71	501.43	$501.43	$0.00	$501.43	$4,049.42
