date	blockchain	pool	token	quote	amount	amount $	paydown	paydown $	sum	asUSD	total
2025-05-17	Cardano	ADA+iUSD	ADA	$0.76	143	$108.98	0	$0.00	143	$108.98	$108.98
2026-02-17	Cardano	ADA+iUSD	ADA	$0.28	3076	$870.65	0	$0.00	3076	$870.65	$979.63
