date	blockchain	pool	token	quote	amount	amount $	paydown	paydown $	sum	asUSD	total
2025-05-18	Cardano	iBTC+ADA	ADA	$0.76	126	$95.63	0	$0.00	126	$95.63	$95.63
2026-02-17	Cardano	iBTC+ADA	ADA	$0.28	1330	$378.09	0	$0.00	1330	$378.09	$473.71
