date	pool	token	quote	amount	amount $	paydown	paydown $	sum	AVAX $	USDC $	asUSD	total
2025-05-10	AVAX+USDC	USDC	$1.00	129.8616	$129.86	16.2327	$16.23	146.0943	$0.00	$146.09	$146.09	$146.09
2025-06-18	AVAX+USDC	AVAX	$18.15	6.34008	$115.07	0.79251	$14.38	7.13259	$129.46	$146.09	$129.46	$275.55
2025-06-20	AVAX+USDC	AVAX	$17.35	1.24992	$21.69	0.15624	$2.71	1.40616	$153.85	$146.09	$24.40	$299.95
2025-09-23	AVAX+USDC	USDC	$1.00	3509.06112	$3,509.06	438.63264	$438.63	3947.69376	$153.85	$4,093.79	$3,947.69	$4,247.64
2025-10-14	AVAX+USDC	USDC	$1.00	234.46104	$234.46	29.30763	$29.31	263.76867	$153.85	$4,357.56	$263.77	$4,511.41
2025-12-08	AVAX+USDC	AVAX	$13.69	49.72472	$680.73	6.21559	$85.09	55.94031	$919.68	$4,357.56	$765.82	$5,277.23
2026-02-23	AVAX+USDC	AVAX	$8.41	30.84808	$259.43	3.85601	$32.43	34.70409	$1,211.54	$4,357.56	$291.86	$5,569.09
2026-09-08	AVAX+USDC	USDC	$1.00	352.16924	$352.17	44.021155	$44.02	396.190395	$1,211.54	$4,753.75	$396.19	$5,965.28
