date	blockchain	pool	token	quote	amount	amount $	paydown	paydown $	sum	asUSD	total
2025-01-10	Cardano	INDY+ADA	INDY	$1.69	0	$0.00	0	$0.00	0	$0.00	$0.00
2025-05-11	Cardano	INDY+ADA	ADA	$1.04	123.266285	$128.20	0	$0.00	123.266285	$128.20	$128.20
