date	pool	token	quote	amount	amount $	paydown	paydown $	sum	asUSD	total
2025-04-21	BTC+DOGE	DOGE	$0.1618	255	$41.20	0	$0.00	255	$41.20	$41.20
2025-05-05	BTC+DOGE	DOGE	$0.1710	502	$85.87	0	$0.00	502	$85.87	$127.06
2025-05-11	BTC+DOGE	BTC	$104,742.00	0.012621	$1,321.92	0	$0.00	0.012621	$1,321.92	$1,448.98
2025-06-11	BTC+DOGE	DOGE	$0.1990	3304	$657.45	0	$0.00	3304	$657.45	$2,106.43
2025-10-02	BTC+DOGE	DOGE	$0.2563	756	$193.83	95	$24.23	851	$218.06	$2,324.49
2025-10-15	BTC+DOGE	DOGE	$0.1983	587	$116.41	73	$14.55	660	$130.96	$2,455.45
2025-12-11	BTC+DOGE	DOGE	$0.1378	2048	$282.15	256	$35.27	2303	$317.42	$2,772.86
