date	blockchain	pool	token	quote	amount	amount $	paydown	paydown $	sum	asUSD	total
2025-05-18	Cardano	iETH+ADA	ADA	$0.76	119	$90.76	0	$0.00	119	$90.76	$90.76
2026-02-18	Cardano	iETH+ADA	ADA	$0.28	684	$188.43	0	$0.00	684	$188.43	$188.43
