date	pool	token	quote	distributed	amount $	paydown	paydown $	sum	BNB $	USDt $	asUSD	total
2025-03-18	BNB+USDt	USDt	$1.00	126.37	$126.37	0	$0.00	126.37	$0.00	$126.37	$126.37	$126.37
2025-05-09	BNB+USDt	USDt	$1.00	349.54	$349.54	0	$0.00	349.54	$0.00	$475.91	$349.54	$475.91
2025-05-23	BNB+USDt	USDt	$1.00	88.28	$88.28	0	$0.00	88.28	$0.00	$564.19	$88.28	$564.19
2025-10-19	BNB+USDt	USDt	$1.00	861.39	$861.39	107.67	$107.67	969.06	$0.00	$1,533.25	$969.06	$1,533.25
2025-12-11	BNB+USDt	BNB	$866.47	0.0987	$85.53	0.0123	$10.69	0.1110	$96.22	$1,533.25	$96.22	$1,629.47
2026-06-25	BNB+USDt	BNB	$570.41	0.50672	$289.04	0.06334	$36.13	0.57006	$421.39	$1,533.25	$325.17	$1,954.64
